epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,3830.49,0.9708,0.85588,1.49914,0.89614,0.82662,0.91166,0.72076,0.87808,0.62639,1.4284,0.00793,0.00793,0.00793
48,3910.16,0.96024,0.86016,1.49473,0.87379,0.84521,0.91487,0.71918,0.87547,0.62608,1.42742,0.007885,0.007885,0.007885
49,3989.37,0.95642,0.83794,1.49174,0.89956,0.81328,0.90998,0.71774,0.87654,0.6175,1.42286,0.00784,0.00784,0.00784
50,4069.61,0.96175,0.85387,1.50051,0.89112,0.81882,0.90785,0.713,0.87636,0.62344,1.4284,0.007795,0.007795,0.007795
51,4150.05,0.95448,0.83219,1.48963,0.88864,0.82553,0.90946,0.71561,0.87338,0.60716,1.42842,0.00775,0.00775,0.00775
52,4228.72,0.95038,0.83499,1.4773,0.90661,0.80286,0.90518,0.71566,0.8598,0.59068,1.40703,0.007705,0.007705,0.007705
53,4309.39,0.94452,0.82651,1.47677,0.87039,0.8549,0.91621,0.72488,0.86767,0.58628,1.41157,0.00766,0.00766,0.00766
54,4388.97,0.95097,0.83168,1.48191,0.88315,0.83446,0.90947,0.71715,0.86815,0.61382,1.41304,0.007615,0.007615,0.007615
55,4468.98,0.9567,0.82878,1.4845,0.89188,0.83828,0.91512,0.7292,0.85511,0.5901,1.40286,0.00757,0.00757,0.00757
56,4549.03,0.95064,0.82667,1.47731,0.86974,0.84641,0.91309,0.72251,0.86562,0.59391,1.41209,0.007525,0.007525,0.007525
57,4627.63,0.944,0.80988,1.47587,0.85081,0.8555,0.91267,0.72415,0.85711,0.59211,1.40394,0.00748,0.00748,0.00748
58,4707.84,0.92907,0.77917,1.45764,0.89071,0.85539,0.92581,0.73734,0.8425,0.56801,1.38218,0.007435,0.007435,0.007435
59,4787.52,0.93405,0.79298,1.46775,0.88039,0.83954,0.91959,0.7257,0.86275,0.58298,1.40565,0.00739,0.00739,0.00739
60,4867.27,0.93692,0.78808,1.4647,0.88348,0.86243,0.92521,0.73413,0.85498,0.57479,1.40204,0.007345,0.007345,0.007345
61,4945.53,0.93526,0.80006,1.46119,0.86671,0.87426,0.91956,0.73039,0.84767,0.58652,1.39105,0.0073,0.0073,0.0073
62,5025.51,0.93612,0.79764,1.45639,0.88719,0.85506,0.92092,0.73386,0.84824,0.5692,1.39003,0.007255,0.007255,0.007255
63,5105.66,0.92699,0.79009,1.46041,0.8803,0.87376,0.92576,0.73653,0.85375,0.56728,1.3913,0.00721,0.00721,0.00721
64,5185.69,0.92861,0.79002,1.45467,0.88835,0.86463,0.92679,0.73695,0.84201,0.55674,1.37835,0.007165,0.007165,0.007165
65,5266.33,0.92711,0.79203,1.46033,0.90727,0.83365,0.92639,0.74245,0.84396,0.55228,1.38966,0.00712,0.00712,0.00712
66,5347.78,0.94002,0.79806,1.46348,0.90576,0.85207,0.927,0.7415,0.83749,0.5403,1.3772,0.007075,0.007075,0.007075
67,5428.39,0.93041,0.77389,1.45457,0.88196,0.87437,0.92811,0.7438,0.84966,0.55311,1.3879,0.00703,0.00703,0.00703
68,5508.11,0.92879,0.77245,1.45317,0.89757,0.86578,0.93259,0.74629,0.84051,0.53767,1.37599,0.006985,0.006985,0.006985
69,5589.17,0.92239,0.76102,1.45509,0.89005,0.86818,0.92838,0.74597,0.8493,0.54651,1.39574,0.00694,0.00694,0.00694
70,5672.8,0.92023,0.76598,1.458,0.88321,0.88047,0.93127,0.74681,0.84065,0.54692,1.38888,0.006895,0.006895,0.006895
71,5755.22,0.91367,0.75966,1.44695,0.88715,0.86766,0.92814,0.74429,0.84285,0.53664,1.37963,0.00685,0.00685,0.00685
72,5836.76,0.91353,0.76254,1.44294,0.90235,0.85551,0.92722,0.74283,0.84431,0.54209,1.38069,0.006805,0.006805,0.006805
73,5918.8,0.90951,0.75247,1.43925,0.8985,0.85976,0.926,0.73875,0.84342,0.54262,1.38643,0.00676,0.00676,0.00676
74,6000.91,0.91312,0.7559,1.44817,0.89669,0.86037,0.9285,0.74112,0.84325,0.5466,1.39082,0.006715,0.006715,0.006715
75,6080.96,0.9125,0.73712,1.44756,0.90171,0.86213,0.93351,0.74845,0.83925,0.53308,1.38103,0.00667,0.00667,0.00667
76,6162.5,0.90453,0.74688,1.43969,0.91075,0.85421,0.93201,0.7442,0.83622,0.53067,1.37247,0.006625,0.006625,0.006625
77,6243.94,0.90887,0.7534,1.445,0.88396,0.88689,0.934,0.74627,0.84292,0.53451,1.38309,0.00658,0.00658,0.00658
78,6323.78,0.90035,0.72934,1.43077,0.88866,0.87864,0.9334,0.7483,0.83686,0.51791,1.37693,0.006535,0.006535,0.006535
79,6405.22,0.91225,0.75499,1.44477,0.88731,0.8752,0.93004,0.74461,0.84052,0.54223,1.38464,0.00649,0.00649,0.00649
80,6486.36,0.89689,0.73407,1.42969,0.88691,0.8878,0.93599,0.75228,0.82744,0.52525,1.36502,0.006445,0.006445,0.006445
81,6568.57,0.89971,0.72058,1.43061,0.89299,0.88623,0.93616,0.75472,0.83473,0.51316,1.37385,0.0064,0.0064,0.0064
82,6650.21,0.89918,0.72177,1.42451,0.90334,0.86947,0.93426,0.7529,0.82749,0.5186,1.36742,0.006355,0.006355,0.006355
83,6731.03,0.9013,0.72844,1.43184,0.89432,0.88279,0.93507,0.75132,0.83496,0.51937,1.37675,0.00631,0.00631,0.00631
84,6813.14,0.89838,0.72376,1.42907,0.90255,0.87718,0.93742,0.74996,0.83397,0.5182,1.37214,0.006265,0.006265,0.006265
85,6894.88,0.88611,0.71315,1.41304,0.9225,0.86087,0.93872,0.7528,0.83772,0.514,1.36979,0.00622,0.00622,0.00622
86,6976.19,0.88337,0.70975,1.40844,0.90024,0.88245,0.93924,0.75667,0.83507,0.50978,1.36875,0.006175,0.006175,0.006175
87,7058.47,0.88023,0.71624,1.41624,0.90463,0.86157,0.93733,0.75347,0.82867,0.51363,1.36742,0.00613,0.00613,0.00613
88,7137.62,0.89571,0.71945,1.4241,0.8937,0.8873,0.93906,0.75578,0.83254,0.50693,1.36939,0.006085,0.006085,0.006085
89,7218.61,0.88261,0.71881,1.41397,0.90607,0.8688,0.93845,0.75451,0.82719,0.50395,1.36251,0.00604,0.00604,0.00604
90,7299.83,0.88261,0.70637,1.40943,0.90593,0.87872,0.94039,0.75728,0.83547,0.50658,1.36892,0.005995,0.005995,0.005995
91,7380.29,0.88068,0.70638,1.41324,0.91868,0.85547,0.93615,0.75584,0.82917,0.52125,1.3625,0.00595,0.00595,0.00595
92,7460.32,0.87948,0.70223,1.40805,0.90402,0.87372,0.9372,0.75304,0.83343,0.51839,1.36966,0.005905,0.005905,0.005905
93,7540.96,0.87534,0.69552,1.40216,0.89299,0.88297,0.93741,0.75394,0.83304,0.51024,1.36633,0.00586,0.00586,0.00586
94,7621.87,0.86708,0.69094,1.3995,0.8961,0.87912,0.93925,0.75837,0.82625,0.50829,1.36011,0.005815,0.005815,0.005815
95,7700.89,0.87486,0.69223,1.41337,0.91393,0.86447,0.93834,0.75773,0.82321,0.50263,1.35873,0.00577,0.00577,0.00577
96,7780.7,0.87332,0.69574,1.40652,0.91456,0.86774,0.93474,0.75598,0.8306,0.51516,1.36517,0.005725,0.005725,0.005725
97,7860.68,0.86714,0.6846,1.39804,0.91458,0.86578,0.93827,0.75866,0.82977,0.50855,1.3653,0.00568,0.00568,0.00568
98,7939.38,0.87328,0.69283,1.40369,0.90357,0.87047,0.93649,0.75561,0.83625,0.50941,1.37386,0.005635,0.005635,0.005635
99,8019.25,0.8716,0.68038,1.40051,0.88937,0.88818,0.93899,0.75881,0.83609,0.50006,1.36829,0.00559,0.00559,0.00559
100,8099.71,0.86135,0.66795,1.39062,0.90495,0.87408,0.94193,0.76167,0.83091,0.50236,1.35696,0.005545,0.005545,0.005545
101,8179.36,0.86235,0.68103,1.39741,0.89294,0.88636,0.94088,0.75993,0.83263,0.5003,1.36376,0.0055,0.0055,0.0055
102,8260.27,0.86722,0.68196,1.38853,0.89593,0.8897,0.9421,0.76147,0.82809,0.49586,1.35719,0.005455,0.005455,0.005455
103,8341.11,0.86578,0.68484,1.38987,0.89418,0.88442,0.93911,0.75821,0.8343,0.50842,1.35836,0.00541,0.00541,0.00541
104,8419.92,0.86677,0.67778,1.39331,0.90791,0.87857,0.93928,0.75805,0.83749,0.50557,1.36409,0.005365,0.005365,0.005365
105,8500.12,0.86336,0.67496,1.39528,0.91159,0.8783,0.94057,0.76066,0.83109,0.5071,1.36236,0.00532,0.00532,0.00532
106,8580.91,0.86083,0.68281,1.39273,0.91125,0.87429,0.94045,0.76293,0.82637,0.5001,1.35188,0.005275,0.005275,0.005275
107,8661.49,0.85615,0.66557,1.38007,0.91222,0.88904,0.94167,0.76183,0.82471,0.48971,1.35159,0.00523,0.00523,0.00523
108,8741.34,0.85906,0.65746,1.38758,0.90503,0.88402,0.93974,0.76124,0.82142,0.50144,1.35028,0.005185,0.005185,0.005185
109,8822.03,0.85373,0.6663,1.37754,0.90213,0.86939,0.9384,0.76094,0.82436,0.51037,1.3512,0.00514,0.00514,0.00514
110,8902.37,0.85381,0.66157,1.38339,0.90071,0.88258,0.93652,0.7619,0.82376,0.50454,1.34986,0.005095,0.005095,0.005095
111,8981.5,0.84744,0.64991,1.37964,0.88851,0.88992,0.94112,0.76502,0.82031,0.49545,1.34787,0.00505,0.00505,0.00505
112,9063.33,0.85123,0.65855,1.3839,0.90098,0.88176,0.94112,0.76359,0.8243,0.49946,1.35445,0.005005,0.005005,0.005005
113,9144.96,0.85938,0.66772,1.38205,0.91637,0.87852,0.94161,0.76422,0.82403,0.49349,1.35351,0.00496,0.00496,0.00496
114,9227.65,0.85024,0.64732,1.37976,0.91199,0.87866,0.93729,0.76131,0.82685,0.5039,1.35812,0.004915,0.004915,0.004915
115,9308.63,0.83905,0.64798,1.36723,0.91879,0.86716,0.93749,0.76212,0.82693,0.50331,1.35951,0.00487,0.00487,0.00487
116,9390.59,0.84341,0.64455,1.37187,0.89728,0.88763,0.93974,0.76384,0.82675,0.4983,1.35637,0.004825,0.004825,0.004825
117,9473.78,0.84822,0.64836,1.373,0.91834,0.868,0.94112,0.76474,0.82678,0.4937,1.35691,0.00478,0.00478,0.00478
118,9556.07,0.85089,0.65387,1.37536,0.90687,0.87007,0.93934,0.7643,0.82248,0.50436,1.35056,0.004735,0.004735,0.004735
119,9637.69,0.83992,0.63934,1.37041,0.91804,0.86435,0.93895,0.76434,0.82125,0.50357,1.3511,0.00469,0.00469,0.00469
120,9717.67,0.85449,0.65107,1.38179,0.924,0.85941,0.93748,0.76207,0.82253,0.50592,1.35077,0.004645,0.004645,0.004645
121,9799.44,0.84084,0.64145,1.37667,0.90787,0.86839,0.93713,0.76115,0.82482,0.50049,1.35359,0.0046,0.0046,0.0046
122,9880.91,0.82854,0.63357,1.36317,0.90457,0.87509,0.9379,0.761,0.8288,0.50283,1.35607,0.004555,0.004555,0.004555
123,9962.52,0.8288,0.63917,1.36536,0.89618,0.88077,0.93911,0.7644,0.82303,0.49227,1.3516,0.00451,0.00451,0.00451
124,10042.3,0.82198,0.63349,1.35449,0.92367,0.85508,0.9401,0.76447,0.82202,0.48937,1.35056,0.004465,0.004465,0.004465
125,10123.2,0.8313,0.63666,1.36379,0.92101,0.86417,0.94012,0.76526,0.82242,0.49087,1.35168,0.00442,0.00442,0.00442
126,10204.8,0.82165,0.63571,1.35,0.90966,0.88525,0.94124,0.76554,0.82241,0.49099,1.35071,0.004375,0.004375,0.004375
127,10286.8,0.8287,0.61176,1.35676,0.92261,0.87273,0.93984,0.76492,0.82417,0.4963,1.35322,0.00433,0.00433,0.00433
128,10367,0.82529,0.62425,1.36037,0.9213,0.87143,0.94077,0.76497,0.82263,0.4976,1.35325,0.004285,0.004285,0.004285
129,10449.6,0.82762,0.61435,1.35447,0.90611,0.88237,0.94043,0.76668,0.82038,0.49853,1.35038,0.00424,0.00424,0.00424
130,10532.4,0.82429,0.62326,1.35072,0.90539,0.87752,0.94105,0.76611,0.82293,0.49906,1.35168,0.004195,0.004195,0.004195
131,10614.4,0.81697,0.61938,1.34876,0.89808,0.88217,0.94066,0.76584,0.82648,0.49313,1.35527,0.00415,0.00415,0.00415
132,10695.4,0.82003,0.61343,1.34801,0.90579,0.87935,0.94136,0.76529,0.82777,0.49439,1.35476,0.004105,0.004105,0.004105
133,10775.3,0.81297,0.6053,1.34041,0.90835,0.8818,0.94178,0.76654,0.82631,0.49231,1.35517,0.00406,0.00406,0.00406
134,10857,0.8203,0.60313,1.35003,0.9136,0.87833,0.94167,0.76689,0.82657,0.49945,1.35632,0.004015,0.004015,0.004015
135,10939.2,0.81067,0.61233,1.34857,0.91612,0.87694,0.94087,0.76647,0.8258,0.50245,1.35692,0.00397,0.00397,0.00397
136,11020.4,0.81674,0.60898,1.34872,0.90005,0.88832,0.94077,0.76584,0.82675,0.50224,1.35838,0.003925,0.003925,0.003925
137,11103.5,0.81244,0.60708,1.34492,0.90644,0.87612,0.93948,0.76582,0.82718,0.50566,1.35922,0.00388,0.00388,0.00388
138,11186.2,0.8122,0.6088,1.34626,0.90503,0.8717,0.93797,0.76453,0.82597,0.50369,1.3588,0.003835,0.003835,0.003835
139,11268.3,0.81217,0.59807,1.33852,0.91777,0.866,0.93876,0.7658,0.8279,0.50741,1.35976,0.00379,0.00379,0.00379
140,11349.9,0.80717,0.59275,1.33464,0.91365,0.86879,0.93843,0.76642,0.82637,0.50829,1.35888,0.003745,0.003745,0.003745
141,11431.8,0.81245,0.60247,1.34257,0.91111,0.86802,0.93985,0.76617,0.82722,0.50719,1.35902,0.0037,0.0037,0.0037
142,11514,0.80478,0.5948,1.33566,0.91587,0.86551,0.94064,0.7661,0.82778,0.50653,1.35938,0.003655,0.003655,0.003655
143,11597,0.81607,0.60523,1.34398,0.90812,0.873,0.93928,0.76575,0.82667,0.50666,1.35809,0.00361,0.00361,0.00361
144,11680.1,0.79786,0.59604,1.32953,0.91064,0.87369,0.9404,0.76699,0.82873,0.50621,1.3597,0.003565,0.003565,0.003565
145,11764.2,0.79347,0.58094,1.32564,0.91823,0.87104,0.93976,0.76774,0.82823,0.50761,1.35877,0.00352,0.00352,0.00352
146,11848.5,0.79479,0.58505,1.32038,0.91975,0.86938,0.93981,0.76772,0.82792,0.50665,1.35817,0.003475,0.003475,0.003475
147,11930.9,0.81169,0.59308,1.33683,0.91786,0.87004,0.93858,0.76804,0.82659,0.50717,1.35767,0.00343,0.00343,0.00343
148,12012.6,0.80161,0.58385,1.33236,0.92028,0.86801,0.93949,0.76885,0.82748,0.50644,1.3591,0.003385,0.003385,0.003385
149,12094.2,0.80728,0.59015,1.33812,0.92096,0.86135,0.939,0.76927,0.82834,0.50903,1.36113,0.00334,0.00334,0.00334
150,12176.5,0.80062,0.58585,1.33369,0.92255,0.86214,0.93926,0.77017,0.82904,0.50932,1.36192,0.003295,0.003295,0.003295
151,12257.5,0.7918,0.58768,1.32323,0.90222,0.88178,0.93941,0.77054,0.82854,0.50821,1.36162,0.00325,0.00325,0.00325
152,12338.2,0.78767,0.57859,1.32563,0.9312,0.85785,0.93837,0.769,0.82918,0.50835,1.36316,0.003205,0.003205,0.003205
